timestamp,camera1_tip_x,camera1_tip_y,camera2_tip_x,camera2_tip_y,follower_joint_1,follower_joint_2,follower_joint_3,follower_joint_4
2025-05-22 14:43:47.294,557,193,400,360,1978,2603,1089,2217
2025-05-22 14:44:23.774,504,169,507,176,1657,2282,1854,1339
